cmdMerge,request,response
65537,LoginReq,LoginResp
131073,CreateRoomReq,CreateRoomResp
131074,EnterRoomReq,EnterRoomResp
196609,QueryRoomReq,QueryRoomResp
196610,StartGameReq,StartGameResp
196611,SelectPoisonReq,SelectPoisonResp
196612,SelectPunishReq,SelectPunishResp
196613,StartRoundReq,StartRoundResp
196614,UseItemReq,UseItemResp
196615,SelectWordReq,SelectWordResp
196616,PlayAgainReq,PlayAgainResp
196617,LeaveRoomReq,LeaveRoomResp
196707,,RoomAddPlayerNtf
196706,,PlayerOnlineUpdateNtf
196705,,PlayerPunishEffectNtf
196704,,PlayerHostingTimesNtf
196703,,RoomStateUpdateNtf
196702,,GameStateUpdateNtf
196701,,PlayerUseItemNtf
196700,,PlayerSelectWordNtf
196699,,PlayerLeaveNtf
196698,,RoomReleaseNtf
196697,,ApplyPlayAgainNtf
196696,,GameSettleNtf
